id,source,reward,A,seed,ts_dir
14,grid,R7_kitchen_sink,0.0,4,/pfs/lustrep2/scratch/project_465002609/julian/AI-Plays-Tag/experiments/results/design_c/grid/R7_kitchen_sink/A00/seed_4/20260508_230833
15,grid,R7_kitchen_sink,0.0,5,/pfs/lustrep2/scratch/project_465002609/julian/AI-Plays-Tag/experiments/results/design_c/grid/R7_kitchen_sink/A00/seed_5/20260510_091624
16,grid,R7_kitchen_sink,0.0,6,/pfs/lustrep2/scratch/project_465002609/julian/AI-Plays-Tag/experiments/results/design_c/grid/R7_kitchen_sink/A00/seed_6/20260510_091624
17,grid,R7_kitchen_sink,0.0,7,/pfs/lustrep2/scratch/project_465002609/julian/AI-Plays-Tag/experiments/results/design_c/grid/R7_kitchen_sink/A00/seed_7/20260510_091624
18,grid,R7_kitchen_sink,0.0,8,/pfs/lustrep2/scratch/project_465002609/julian/AI-Plays-Tag/experiments/results/design_c/grid/R7_kitchen_sink/A00/seed_8/20260510_091624
19,grid,R7_kitchen_sink,0.5,0,/pfs/lustrep2/scratch/project_465002609/julian/AI-Plays-Tag/experiments/results/design_c/grid/R7_kitchen_sink/A50/seed_0/20260508_194241
20,grid,R7_kitchen_sink,0.5,1,/pfs/lustrep2/scratch/project_465002609/julian/AI-Plays-Tag/experiments/results/design_c/grid/R7_kitchen_sink/A50/seed_1/20260508_194241
21,grid,R7_kitchen_sink,0.5,2,/pfs/lustrep2/scratch/project_465002609/julian/AI-Plays-Tag/experiments/results/design_c/grid/R7_kitchen_sink/A50/seed_2/20260508_194241
22,grid,R7_kitchen_sink,0.5,3,/pfs/lustrep2/scratch/project_465002609/julian/AI-Plays-Tag/experiments/results/design_c/grid/R7_kitchen_sink/A50/seed_3/20260508_230833
23,grid,R7_kitchen_sink,0.5,4,/pfs/lustrep2/scratch/project_465002609/julian/AI-Plays-Tag/experiments/results/design_c/grid/R7_kitchen_sink/A50/seed_4/20260508_230833
24,grid,R7_kitchen_sink,0.5,5,/pfs/lustrep2/scratch/project_465002609/julian/AI-Plays-Tag/experiments/results/design_c/grid/R7_kitchen_sink/A50/seed_5/20260510_091624
25,grid,R7_kitchen_sink,0.5,6,/pfs/lustrep2/scratch/project_465002609/julian/AI-Plays-Tag/experiments/results/design_c/grid/R7_kitchen_sink/A50/seed_6/20260510_091624
26,grid,R7_kitchen_sink,0.5,7,/pfs/lustrep2/scratch/project_465002609/julian/AI-Plays-Tag/experiments/results/design_c/grid/R7_kitchen_sink/A50/seed_7/20260510_091624
27,grid,R7_kitchen_sink,0.5,8,/pfs/lustrep2/scratch/project_465002609/julian/AI-Plays-Tag/experiments/results/design_c/grid/R7_kitchen_sink/A50/seed_8/20260510_091643
28,anchor,R4_sparse,0.0,42,/pfs/lustrep2/scratch/project_465002609/julian/AI-Plays-Tag/experiments/results/design_c/anchors/R4_sparse/A00/seed_42/20260508_203958
29,anchor,R4_sparse,0.5,42,/pfs/lustrep2/scratch/project_465002609/julian/AI-Plays-Tag/experiments/results/design_c/anchors/R4_sparse/A50/seed_42/20260508_203958
30,anchor,R7_kitchen_sink,0.0,42,/pfs/lustrep2/scratch/project_465002609/julian/AI-Plays-Tag/experiments/results/design_c/anchors/R7_kitchen_sink/A00/seed_42/20260508_203958
31,anchor,R7_kitchen_sink,0.5,42,/pfs/lustrep2/scratch/project_465002609/julian/AI-Plays-Tag/experiments/results/design_c/anchors/R7_kitchen_sink/A50/seed_42/20260508_203958
